"","THEME","STATUS","REF_PER_COLLECT","SD_VALUE","CCYY","EXP_COMP","STAT_VAR","STAT_PRES","STAT_VALUE","EXP_COMP_PROP","Q"
"55","GDPE1","f","A","8 ","1961","GDP","CURPGDP","YoY_1dp",NA,NA,NA
"136","GDPE1","f","A","0 ","1962","GDP","CURPGDP","YoY_1dp","11.7 ",NA,NA
"217","GDPE1","f","A","0 ","1963","GDP","CURPGDP","YoY_1dp","16.0 ",NA,NA
"298","GDPE1","f","A","0 ","1964","GDP","CURPGDP","YoY_1dp","11.3 ",NA,NA
"379","GDPE1","f","A","0 ","1965","GDP","CURPGDP","YoY_1dp","14.3 ",NA,NA
"518","GDPE1","f","A","0 ","1966","GDP","CURPGDP","YoY_1dp","1.5 ",NA,NA
"673","GDPE1","f","A","0 ","1967","GDP","CURPGDP","YoY_1dp","5.6 ",NA,NA
"828","GDPE1","f","A","0 ","1968","GDP","CURPGDP","YoY_1dp","4.6 ",NA,NA
"983","GDPE1","f","A","0 ","1969","GDP","CURPGDP","YoY_1dp","15.7 ",NA,NA
"1138","GDPE1","f","A","0 ","1970","GDP","CURPGDP","YoY_1dp","16.0 ",NA,NA
"1293","GDPE1","f","A","0 ","1971","GDP","CURPGDP","YoY_1dp","13.0 ",NA,NA
"1448","GDPE1","f","A","0 ","1972","GDP","CURPGDP","YoY_1dp","18.4 ",NA,NA
"1603","GDPE1","f","A","0 ","1973","GDP","CURPGDP","YoY_1dp","24.7 ",NA,NA
"2026","GDPE1","f","A","0 ","1974","GDP","CURPGDP","YoY_1dp","10.8 ",NA,NA
"2585","GDPE1","f","A","0 ","1975","GDP","CURPGDP","YoY_1dp","3.0 ",NA,NA
"3144","GDPE1","f","A","0 ","1976","GDP","CURPGDP","YoY_1dp","25.8 ",NA,NA
"3703","GDPE1","f","A","0 ","1977","GDP","CURPGDP","YoY_1dp","14.4 ",NA,NA
"4262","GDPE1","f","A","0 ","1978","GDP","CURPGDP","YoY_1dp","15.0 ",NA,NA
"4821","GDPE1","f","A","0 ","1979","GDP","CURPGDP","YoY_1dp","24.4 ",NA,NA
"5393","GDPE1","f","A","0 ","1980","GDP","CURPGDP","YoY_1dp","24.1 ",NA,NA
"6017","GDPE1","f","A","0 ","1981","GDP","CURPGDP","YoY_1dp","18.1 ",NA,NA
"6641","GDPE1","f","A","0 ","1982","GDP","CURPGDP","YoY_1dp","11.2 ",NA,NA
"7265","GDPE1","f","A","0 ","1983","GDP","CURPGDP","YoY_1dp","9.2 ",NA,NA
"7889","GDPE1","f","A","0 ","1984","GDP","CURPGDP","YoY_1dp","19.4 ",NA,NA
"8513","GDPE1","f","A","0 ","1985","GDP","CURPGDP","YoY_1dp","5.0 ",NA,NA
"9137","GDPE1","f","A","0 ","1986","GDP","CURPGDP","YoY_1dp","13.8 ",NA,NA
"9761","GDPE1","f","A","0 ","1987","GDP","CURPGDP","YoY_1dp","21.9 ",NA,NA
"10393","GDPE1","f","A","0 ","1988","GDP","CURPGDP","YoY_1dp","17.1 ",NA,NA
"11057","GDPE1","f","A","0 ","1989","GDP","CURPGDP","YoY_1dp","13.9 ",NA,NA
"11721","GDPE1","f","A","0 ","1990","GDP","CURPGDP","YoY_1dp","11.3 ",NA,NA
"12417","GDPE1","f","A","0 ","1991","GDP","CURPGDP","YoY_1dp","14.4 ",NA,NA
"13113","GDPE1","f","A","0 ","1992","GDP","CURPGDP","YoY_1dp","15.8 ",NA,NA
"13809","GDPE1","f","A","0 ","1993","GDP","CURPGDP","YoY_1dp","13.4 ",NA,NA
"14505","GDPE1","f","A","0 ","1994","GDP","CURPGDP","YoY_1dp","10.2 ",NA,NA
"15201","GDPE1","f","A","0 ","1995","GDP","CURPGDP","YoY_1dp","4.5 ",NA,NA
"15897","GDPE1","f","A","0 ","1996","GDP","CURPGDP","YoY_1dp","5.6 ",NA,NA
"16593","GDPE1","f","A","0 ","1997","GDP","CURPGDP","YoY_1dp","10.2 ",NA,NA
"17289","GDPE1","f","A","0 ","1998","GDP","CURPGDP","YoY_1dp","-5.5 ",NA,NA
"17985","GDPE1","f","A","0 ","1999","GDP","CURPGDP","YoY_1dp","-2.6 ",NA,NA
"18681","GDPE1","f","A","0 ","2000","GDP","CURPGDP","YoY_1dp","3.1 ",NA,NA
"19377","GDPE1","f","A","0 ","2001","GDP","CURPGDP","YoY_1dp","-1.9 ",NA,NA
"20073","GDPE1","f","A","0 ","2002","GDP","CURPGDP","YoY_1dp","-2.2 ",NA,NA
"20769","GDPE1","f","A","0 ","2003","GDP","CURPGDP","YoY_1dp","-2.9 ",NA,NA
"21465","GDPE1","f","A","0 ","2004","GDP","CURPGDP","YoY_1dp","4.0 ",NA,NA
"22161","GDPE1","f","A","0 ","2005","GDP","CURPGDP","YoY_1dp","6.8 ",NA,NA
"22857","GDPE1","f","A","0 ","2006","GDP","CURPGDP","YoY_1dp","5.8 ",NA,NA
"23553","GDPE1","f","A","0 ","2007","GDP","CURPGDP","YoY_1dp","8.9 ",NA,NA
"24249","GDPE1","f","A","0 ","2008","GDP","CURPGDP","YoY_1dp","2.8 ",NA,NA
"24945","GDPE1","f","A","0 ","2009","GDP","CURPGDP","YoY_1dp","-3.0 ",NA,NA
"25641","GDPE1","f","A","0 ","2010","GDP","CURPGDP","YoY_1dp","6.3 ",NA,NA
"26337","GDPE1","f","A","0 ","2011","GDP","CURPGDP","YoY_1dp","8.2 ",NA,NA
"27033","GDPE1","f","A","0 ","2012","GDP","CURPGDP","YoY_1dp","4.1 ",NA,NA
"27729","GDPE1","f","A","0 ","2013","GDP","CURPGDP","YoY_1dp","4.5 ",NA,NA
"28425","GDPE1","f","A","0 ","2014","GDP","CURPGDP","YoY_1dp","5.0 ",NA,NA
"29121","GDPE1","r","A","0 ","2015","GDP","CURPGDP","YoY_1dp","5.2 ",NA,NA
"29817","GDPE1","p","A","0 ","2016","GDP","CURPGDP","YoY_1dp","3.1 ",NA,NA
